task_id,variant,provider,model,sample_index,requested_temperature,effective_temperature,oracle_spec_label,oracle_spec,syntax_ok,loc,function_count,class_count,cc_total,cc_average,cc_max,maintainability_index,max_nesting_depth,pytest_passed,pytest_timed_out,judge_score,judge_skipped,stress_passed,maintenance_token_overhead,maintenance_failure_type,maintenance_failure_detail,context_ablation_pass_at_1,context_ablation_token_overhead,context_ablation_failure_type,context_ablation_failure_detail,stress_duration_seconds,hybrid_retries,hybrid_gate_pass,hard_cc_pass,hard_nesting_pass,hard_pytest_pass,hybrid_feedback_cc_delta,max_retries_exceeded
nested_json_index,oracle_generation,google,models/gemini-2.5-pro,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,60,2,0,10,5.0,6,78.133,2,True,False,8,False,,,,,,,,,,,,,,,,
nested_json_index,oracle_generation,google,models/gemini-2.5-pro,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,57,2,0,10,5.0,6,77.127,2,True,False,8,False,,,,,,,,,,,,,,,,
nested_json_index,oracle_generation,google,models/gemini-2.5-pro,2,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,58,2,0,11,5.5,7,77.085,2,True,False,8,False,,,,,,,,,,,,,,,,
retry_state_machine,oracle_generation,google,models/gemini-2.5-pro,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,45,5,1,9,1.5,3,66.263,1,True,False,8,False,,,,,,,,,,,,,,,,
retry_state_machine,oracle_generation,google,models/gemini-2.5-pro,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,43,5,1,9,1.5,3,78.322,1,True,False,8,False,,,,,,,,,,,,,,,,
retry_state_machine,oracle_generation,google,models/gemini-2.5-pro,2,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,47,5,1,9,1.5,3,72.569,1,True,False,7,False,,,,,,,,,,,,,,,,
event_windows,oracle_generation,google,models/gemini-2.5-pro,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,62,2,0,10,5.0,6,79.074,2,True,False,7,False,,,,,,,,,,,,,,,,
event_windows,oracle_generation,google,models/gemini-2.5-pro,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,71,3,0,11,3.667,5,78.629,2,True,False,7,False,,,,,,,,,,,,,,,,
event_windows,oracle_generation,google,models/gemini-2.5-pro,2,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,57,2,0,10,5.0,6,76.674,2,True,False,8,False,,,,,,,,,,,,,,,,
dependency_order,oracle_generation,google,models/gemini-2.5-pro,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,0,0,0,0,0.0,0,100.0,0,False,False,1,False,,,,,,,,,,,,,,,,
dependency_order,oracle_generation,google,models/gemini-2.5-pro,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,0,0,0,0,0.0,0,100.0,0,False,False,1,False,,,,,,,,,,,,,,,,
