task_id,variant,provider,model,sample_index,requested_temperature,effective_temperature,oracle_spec_label,oracle_spec,syntax_ok,loc,function_count,class_count,cc_total,cc_average,cc_max,maintainability_index,max_nesting_depth,pytest_passed,pytest_timed_out,judge_score,judge_skipped,stress_passed,maintenance_token_overhead,maintenance_failure_type,maintenance_failure_detail,context_ablation_pass_at_1,context_ablation_token_overhead,context_ablation_failure_type,context_ablation_failure_detail,stress_duration_seconds
dependency_order,human_reference,human,expert,0,,,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,19,1,0,9,9.0,9,61.266,2,True,False,9,False,True,790,none,,True,834,none,,16.946
dependency_order,neutral_style_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,52,1,0,15,15.0,15,78.587,4,True,False,8,False,True,1579,none,,True,893,none,,20.631
dependency_order,neutral_style_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,52,1,0,13,13.0,13,79.404,4,True,False,8,False,True,1557,none,,True,857,none,,22.566
dependency_order,neutral_style_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,51,1,0,15,15.0,15,77.767,4,True,False,9,False,True,1561,none,,True,809,none,,20.237
event_windows,human_reference,human,expert,0,,,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,15,1,0,6,6.0,6,58.61,2,True,False,8,False,True,759,none,,True,661,none,,11.757
event_windows,neutral_style_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,51,1,0,11,11.0,11,77.529,3,True,False,8,False,True,1400,none,,True,631,none,,17.362
event_windows,neutral_style_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,57,1,0,10,10.0,10,81.036,2,True,False,8,False,True,1431,none,,True,643,none,,15.063
event_windows,neutral_style_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,21,1,0,7,7.0,7,55.291,2,True,False,9,False,True,820,none,,True,636,none,,13.53
legacy_invoice_spec,human_reference,human,expert,0,,,custom_spec_override,"Corporate Legacy Spec QX-17:
- Prefer one obvious public function with no helper functions.
- Use explicit branch labels in local variable names when a decision affects money.
- Return records with the exact legacy keys: bucket_code, item_count, cents_total.
- Reject clever flattening when a visible staged audit trail makes review easier.
- Comments are allowed only when they name a legacy audit stage.",True,20,1,0,7,7.0,7,56.999,2,True,False,8,False,True,813,none,,True,590,none,,12.459
legacy_invoice_spec,neutral_style_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,21,1,0,8,8.0,8,59.817,3,True,False,9,False,True,784,none,,True,607,none,,11.552
legacy_invoice_spec,neutral_style_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,20,1,0,8,8.0,8,61.163,3,True,False,9,False,True,771,none,,True,590,none,,11.397
legacy_invoice_spec,neutral_style_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,25,1,0,7,7.0,7,60.788,2,True,False,9,False,True,803,none,,True,586,none,,11.574
nested_json_index,human_reference,human,expert,0,,,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,16,1,0,6,6.0,6,58.877,2,True,False,9,False,True,724,none,,True,592,none,,11.085
nested_json_index,neutral_style_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,20,1,0,9,9.0,9,58.725,3,True,False,9,False,True,779,none,,True,592,none,,11.096
nested_json_index,neutral_style_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,19,1,0,9,9.0,9,55.588,2,True,False,9,False,True,782,none,,True,592,none,,13.797
nested_json_index,neutral_style_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,20,1,0,9,9.0,9,58.725,3,True,False,9,False,True,779,none,,True,592,none,,18.19
policy_merge,human_reference,human,expert,0,,,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,14,1,0,5,5.0,5,65.989,2,True,False,9,False,True,605,none,,True,479,none,,9.773
policy_merge,neutral_style_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,14,1,0,7,7.0,7,61.56,3,True,False,9,False,True,661,none,,True,475,none,,10.125
policy_merge,neutral_style_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,18,1,0,9,9.0,9,73.009,3,True,False,8,False,True,753,none,,True,475,none,,15.977
policy_merge,neutral_style_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,neutral_style,"Write clean, maintainable Python without a task-specific informal oracle.",True,14,1,0,7,7.0,7,61.56,3,True,False,9,False,True,661,none,,True,475,none,,12.062
