task_id,variant,provider,model,sample_index,requested_temperature,effective_temperature,oracle_spec_label,oracle_spec,syntax_ok,loc,function_count,class_count,cc_total,cc_average,cc_max,maintainability_index,max_nesting_depth,pytest_passed,pytest_timed_out,judge_score,judge_skipped,stress_passed,maintenance_token_overhead,maintenance_failure_type,maintenance_failure_detail,context_ablation_pass_at_1,context_ablation_token_overhead,context_ablation_failure_type,context_ablation_failure_detail,stress_duration_seconds
access_control_log,baseline_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,32,1,0,3,3.0,3,95.798,1,False,False,9,False,True,879,none,,True,433,none,,18.189
access_control_log,baseline_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,39,1,0,1,1.0,1,94.964,0,False,False,10,False,True,1047,none,,True,433,none,,12.72
access_control_log,baseline_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,30,1,0,1,1.0,1,100.0,0,False,False,10,False,True,837,none,,True,433,none,,11.271
access_control_log,human_reference,human,expert,0,,,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,5,1,0,1,1.0,1,78.15,0,True,False,10,False,True,522,none,,True,433,none,,9.525
access_control_log,oracle_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,31,1,0,1,1.0,1,95.602,0,True,False,10,False,True,905,none,,True,433,none,,11.598
access_control_log,oracle_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,36,1,0,1,1.0,1,86.418,0,True,False,10,False,True,1040,none,,True,433,none,,25.364
access_control_log,oracle_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,custom_spec_override,"Zero-Trust Audit Principle ZT-2:
- Every access attempt must be logged before returning, whether allowed or denied.
- No short-circuit return may bypass the log write.
- Log records must include role, permission, and allowed.",True,33,1,0,2,2.0,2,88.342,0,True,False,10,False,True,927,none,,True,433,none,,12.176
adversarial_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,custom_spec_override,"Legacy Telemetry Standard LT-11:
- Every state transition must be represented by an explicit labeled branch variable.
- Branch labels must be local variables named branch_<state>_<event>.
- The implementation should favor auditable branch labels over minimizing decision count.",True,8,1,0,1,1.0,1,100.0,0,True,False,2,False,True,466,none,,True,408,none,,15.986
adversarial_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,custom_spec_override,"Legacy Telemetry Standard LT-11:
- Every state transition must be represented by an explicit labeled branch variable.
- Branch labels must be local variables named branch_<state>_<event>.
- The implementation should favor auditable branch labels over minimizing decision count.",True,8,1,0,1,1.0,1,100.0,0,True,False,2,False,True,466,none,,True,408,none,,20.305
adversarial_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,custom_spec_override,"Legacy Telemetry Standard LT-11:
- Every state transition must be represented by an explicit labeled branch variable.
- Branch labels must be local variables named branch_<state>_<event>.
- The implementation should favor auditable branch labels over minimizing decision count.",True,8,1,0,1,1.0,1,100.0,0,True,False,2,False,True,466,none,,True,408,none,,9.768
