step,task_id,variant,provider,model,sample_index,maintenance_provider,maintenance_model,pass_bool,token_estimate,cc_average,nesting_depth,function_count,elapsed_seconds,accumulated_score,failure_type,failure_detail
1,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,975,6.0,2,2,15.57,5850.0,none,
2,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1058,4.333,2,3,6.767,10434.314,none,
3,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1520,7.667,3,3,8.917,22088.154,none,
1,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1316,6.0,2,2,14.684,7896.0,none,
2,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1451,3.5,2,4,7.682,12974.5,none,
3,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1981,5.75,3,4,13.788,24365.25,none,
1,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1614,6.0,2,2,16.756,9684.0,none,
2,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1796,3.0,2,5,11.017,15072.0,none,
3,archival_binding_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2355,5.0,3,5,37.033,26847.0,none,
1,archival_binding_spec,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,888,4.333,2,3,12.306,3847.704,none,
2,archival_binding_spec,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,966,3.0,2,5,5.614,6745.704,none,
3,archival_binding_spec,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1357,5.0,3,5,8.114,13530.704,none,
1,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1846,6.0,2,2,17.082,11076.0,none,
2,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2088,3.2,2,5,12.634,17757.6,none,
3,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2628,5.2,3,5,19.077,31423.2,none,
1,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1765,6.0,2,2,16.75,10590.0,none,
2,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1884,3.0,2,5,10.896,16242.0,none,
3,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2337,4.4,3,5,15.301,26524.8,none,
1,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1656,6.0,2,2,15.141,9936.0,none,
2,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1812,2.667,2,6,10.905,14768.604,none,
3,archival_binding_spec,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2403,4.333,3,6,13.155,25180.803,none,
1,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1815,17.0,4,1,18.712,30855.0,none,
2,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2035,3.667,2,6,10.27,38317.345,none,
3,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2515,5.833,2,6,12.291,52987.34,none,
1,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1785,17.0,4,1,20.959,30345.0,none,
2,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2036,3.286,2,7,13.351,37035.296,none,
3,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2621,5.429,2,7,17.349,51264.705,none,
1,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2059,18.0,5,1,19.753,37062.0,none,
2,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2263,3.125,3,8,12.023,44133.875,none,
3,cli_argument_validation,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2970,5.75,3,8,15.624,61211.375,none,
1,cli_argument_validation,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1117,5.667,4,3,16.453,6330.039,none,
2,cli_argument_validation,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1246,3.333,2,6,8.34,10482.957,none,
3,cli_argument_validation,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,False,1257,4.0,2,5,7.444,15510.957,runtime_error,E       ValueError: unknown flag: --tag
1,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2181,4.0,3,6,21.991,8724.0,none,
2,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2624,2.636,2,11,13.705,15640.864,none,
3,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,3165,3.636,2,11,15.392,27148.804,none,
1,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1808,4.2,2,5,19.427,7593.6,none,
2,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2047,3.0,2,8,10.355,13734.6,none,
3,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2768,5.375,2,8,14.84,28612.6,none,
1,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1890,3.571,3,7,21.031,6749.19,none,
2,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2329,2.333,2,15,12.285,12182.747,none,
3,cli_argument_validation,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2622,2.667,2,15,12.427,19175.621,none,
1,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1940,4.5,2,6,22.26,8730.0,none,
2,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2318,3.5,2,10,11.359,16843.0,none,
3,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2812,4.2,2,10,13.351,28653.4,none,
1,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2253,4.833,2,6,21.845,10888.749,none,
2,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2566,3.7,2,10,11.813,20382.949,none,
3,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,3184,3.583,2,12,15.649,31791.221,none,
1,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2013,5.0,3,5,20.789,10065.0,none,
2,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2421,3.3,2,10,11.911,18054.3,none,
3,config_precedence_merge,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2912,4.0,2,10,13.263,29702.3,none,
1,config_precedence_merge,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1200,4.5,3,6,18.1,5400.0,none,
2,config_precedence_merge,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1320,3.333,3,9,7.866,9799.56,none,
3,config_precedence_merge,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1567,4.111,3,9,9.1,16241.497,none,
1,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2692,4.714,2,7,25.988,12690.088,none,
2,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,3242,3.154,2,13,22.026,22915.356,none,
3,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,3898,3.214,2,14,42.81,35443.528,none,
1,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2949,4.714,2,7,26.038,13901.586,none,
2,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,3501,3.167,2,12,16.766,24989.253,none,
3,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,4122,3.462,2,13,18.454,39259.617,none,
1,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2856,5.5,2,6,20.236,15708.0,none,
2,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,3429,3.727,2,11,15.462,28487.883,none,
3,config_precedence_merge,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,4091,3.357,2,14,17.37,42221.37,none,
1,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1458,15.0,3,1,14.934,21870.0,none,
2,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1598,4.0,2,5,10.291,28262.0,none,
3,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1874,4.8,2,5,9.645,37257.2,none,
1,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1414,17.0,3,1,14.314,24038.0,none,
2,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1656,4.0,2,6,13.41,30662.0,none,
3,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2025,4.667,2,6,9.973,40112.675,none,
1,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1479,16.0,3,1,16.339,23664.0,none,
2,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1648,4.4,3,5,11.608,30915.2,none,
3,csv_sales_aggregate,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1990,5.2,3,5,14.342,41263.2,none,
1,csv_sales_aggregate,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,883,5.5,2,2,12.258,4856.5,none,
2,csv_sales_aggregate,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,948,3.25,2,4,6.244,7937.5,none,
3,csv_sales_aggregate,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1116,4.25,2,4,11.197,12680.5,none,
1,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1051,10.0,3,1,16.806,10510.0,none,
2,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1225,3.5,3,4,7.54,14797.5,none,
3,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1524,4.5,3,4,9.865,21655.5,none,
