task_id,variant,provider,model,sample_index,requested_temperature,effective_temperature,oracle_spec_label,oracle_spec,syntax_ok,loc,function_count,class_count,cc_total,cc_average,cc_max,maintainability_index,max_nesting_depth,pytest_passed,pytest_timed_out,judge_score,judge_skipped,stress_passed,maintenance_token_overhead,maintenance_failure_type,maintenance_failure_detail,context_ablation_pass_at_1,context_ablation_token_overhead,context_ablation_failure_type,context_ablation_failure_detail,stress_duration_seconds,hybrid_retries,hybrid_gate_pass,hard_cc_pass,hard_nesting_pass,hard_pytest_pass,hybrid_feedback_cc_delta,max_retries_exceeded
nested_json_index,baseline_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,19,1,0,9,9.0,9,55.588,2,True,False,8,False,,,,,,,,,,,,,,,,
nested_json_index,baseline_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,20,1,0,9,9.0,9,58.725,3,True,False,8,False,,,,,,,,,,,,,,,,
nested_json_index,baseline_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,20,1,0,9,9.0,9,58.725,3,True,False,8,False,,,,,,,,,,,,,,,,
nested_json_index,oracle_karpathy_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,karpathy_oracle,"Treat the Karpathy Guidelines as an informal in-context oracle for structural
quality. The oracle is not a style preference layer; it is a degree-of-freedom
collapse over the implementation space. Preserve functional correctness while
choosing the simplest architecture that satisfies the task.

Operational constraints derived from Karpathy's behavioral guidelines
(https://github.com/forrestchang/andrej-karpathy-skills):
- Think before coding: state assumptions explicitly; if uncertain about a design
  choice, choose the most conservative interpretation.
- Simplicity first: write the minimum code that solves the problem. No features
  beyond what was asked. No abstractions for single-use code. No speculative
  flexibility or configurability. If you write 200 lines and it could be 50,
  rewrite it.
- Surgical changes: touch only what you must. Do not improve adjacent code,
  comments, or formatting. Match existing style even if you would do it
  differently.
- Goal-driven execution: define verifiable success criteria. Every function
  should have a clear, testable contract. Prefer writing tests first, then
  implementation.
",True,16,1,0,7,7.0,7,58.678,2,True,False,9,False,,,,,,,,,,,,,,,,
nested_json_index,oracle_karpathy_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,karpathy_oracle,"Treat the Karpathy Guidelines as an informal in-context oracle for structural
quality. The oracle is not a style preference layer; it is a degree-of-freedom
collapse over the implementation space. Preserve functional correctness while
choosing the simplest architecture that satisfies the task.

Operational constraints derived from Karpathy's behavioral guidelines
(https://github.com/forrestchang/andrej-karpathy-skills):
- Think before coding: state assumptions explicitly; if uncertain about a design
  choice, choose the most conservative interpretation.
- Simplicity first: write the minimum code that solves the problem. No features
  beyond what was asked. No abstractions for single-use code. No speculative
  flexibility or configurability. If you write 200 lines and it could be 50,
  rewrite it.
- Surgical changes: touch only what you must. Do not improve adjacent code,
  comments, or formatting. Match existing style even if you would do it
  differently.
- Goal-driven execution: define verifiable success criteria. Every function
  should have a clear, testable contract. Prefer writing tests first, then
  implementation.
",True,16,1,0,7,7.0,7,58.678,2,True,False,9,False,,,,,,,,,,,,,,,,
nested_json_index,oracle_karpathy_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,karpathy_oracle,"Treat the Karpathy Guidelines as an informal in-context oracle for structural
quality. The oracle is not a style preference layer; it is a degree-of-freedom
collapse over the implementation space. Preserve functional correctness while
choosing the simplest architecture that satisfies the task.

Operational constraints derived from Karpathy's behavioral guidelines
(https://github.com/forrestchang/andrej-karpathy-skills):
- Think before coding: state assumptions explicitly; if uncertain about a design
  choice, choose the most conservative interpretation.
- Simplicity first: write the minimum code that solves the problem. No features
  beyond what was asked. No abstractions for single-use code. No speculative
  flexibility or configurability. If you write 200 lines and it could be 50,
  rewrite it.
- Surgical changes: touch only what you must. Do not improve adjacent code,
  comments, or formatting. Match existing style even if you would do it
  differently.
- Goal-driven execution: define verifiable success criteria. Every function
  should have a clear, testable contract. Prefer writing tests first, then
  implementation.
",True,16,1,0,7,7.0,7,58.678,2,True,False,9,False,,,,,,,,,,,,,,,,
retry_state_machine,baseline_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,14,5,1,8,1.333,2,62.618,1,True,False,10,False,,,,,,,,,,,,,,,,
retry_state_machine,baseline_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,14,5,1,8,1.333,2,62.618,1,True,False,10,False,,,,,,,,,,,,,,,,
retry_state_machine,baseline_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,zen_of_python,"Treat the Zen of Python as an informal in-context oracle for structural quality.
The oracle is not a style preference layer; it is a degree-of-freedom collapse
over the implementation space. Preserve functional correctness while choosing
the simplest architecture that satisfies the task.

Operational constraints:
- Prefer small pure helpers over monolithic functions.
- Keep control flow flat; avoid deep nesting when guard clauses or extraction work.
- Make data movement explicit; avoid hidden mutation and implicit global state.
- Raise clear errors for invalid inputs instead of silently guessing.
- Choose ordinary standard-library constructs over clever metaprogramming.
- Use names that make the implementation easy to explain.
- Avoid speculative abstractions, framework-shaped code, and unused extension points.
- Keep code sparse enough that a maintainer can audit behavior locally.
",True,14,5,1,8,1.333,2,62.618,1,True,False,10,False,,,,,,,,,,,,,,,,
retry_state_machine,oracle_karpathy_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,karpathy_oracle,"Treat the Karpathy Guidelines as an informal in-context oracle for structural
quality. The oracle is not a style preference layer; it is a degree-of-freedom
collapse over the implementation space. Preserve functional correctness while
choosing the simplest architecture that satisfies the task.

Operational constraints derived from Karpathy's behavioral guidelines
(https://github.com/forrestchang/andrej-karpathy-skills):
- Think before coding: state assumptions explicitly; if uncertain about a design
  choice, choose the most conservative interpretation.
- Simplicity first: write the minimum code that solves the problem. No features
  beyond what was asked. No abstractions for single-use code. No speculative
  flexibility or configurability. If you write 200 lines and it could be 50,
  rewrite it.
- Surgical changes: touch only what you must. Do not improve adjacent code,
  comments, or formatting. Match existing style even if you would do it
  differently.
- Goal-driven execution: define verifiable success criteria. Every function
  should have a clear, testable contract. Prefer writing tests first, then
  implementation.
",True,14,5,1,8,1.333,2,62.618,1,True,False,10,False,,,,,,,,,,,,,,,,
